"","X.1","X","Reporter","Partner","Trade_Value__US__","Netweight__kg_","Reporter_ISO","Partner_ISO","Commodity","Year"
"141",1972,1972,"Ethiopia:ETH","Saudi Arabia:SAU",2279677,987000,"ETH","SAU","Coffee",2005
"142",1973,1973,"Ethiopia:ETH","Spain:ESP",40038,18000,"ETH","ESP","Coffee",2005
"143",1974,1974,"Ethiopia:ETH","Swaziland:SWZ",260250,108000,"ETH","SWZ","Coffee",2005
"144",1975,1975,"Ethiopia:ETH","Sweden:SWE",458084,198000,"ETH","SWE","Coffee",2005
"145",1976,1976,"Ethiopia:ETH","Switzerland:CHE",552504,252000,"ETH","CHE","Coffee",2005
"146",1977,1977,"Ethiopia:ETH","United Arab Emirates:ARE",39952,18000,"ETH","ARE","Coffee",2005
"147",1978,1978,"Ethiopia:ETH","United Kingdom:GBR",232263,90000,"ETH","GBR","Coffee",2005
"148",1979,1979,"Ethiopia:ETH","USA:USA",2724913,1024800,"ETH","USA","Coffee",2005
"149",1980,1980,"Ethiopia:ETH","Yemen:YEM",121829,48000,"ETH","YEM","Coffee",2005
"150",1981,1981,"Ethiopia:ETH","Netherlands:NLD",2840,1080,"ETH","NLD","Coffee",2005
"151",1982,1982,"Ethiopia:ETH","Norway:NOR",101,45,"ETH","NOR","Coffee",2005
"152",2237,2237,"Germany:DEU","Ethiopia:ETH",24,1,"DEU","ETH","Coffee",2015
"153",2595,2595,"Greece:GRC","Ethiopia:ETH",250556,261731,"GRC","ETH","Coffee",2005
"154",3056,3056,"India:IND","Ethiopia:ETH",4057,1011,"IND","ETH","Coffee",2005
"155",4666,4666,"Netherlands:NLD","Ethiopia:ETH",36066,24000,"NLD","ETH","Coffee",2005
"156",5625,5625,"South Africa:ZAF","Ethiopia:ETH",2122,80,"ZAF","ETH","Coffee",2015
"157",5684,5684,"South Africa:ZAF","Ethiopia:ETH",36,4,"ZAF","ETH","Coffee",2010
"158",5743,5743,"South Africa:ZAF","Ethiopia:ETH",33,5,"ZAF","ETH","Coffee",2005
"159",6597,6597,"United Arab Emirates:ARE","Ethiopia:ETH",4150,503,"ARE","ETH","Coffee",2005
